Timestamp,CI,V_TRAIN (Km/h),NID_BG,M_MODE,DL Rxqual,UL Rxqual,D_LRBG,HO_state,CES,EStop
2025-10-01 16:46:48.425,009,,1370,,4.0,0.0,,0,0,0
2025-10-01 16:46:48.905,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:49.216,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:49.385,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:49.620,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:49.620,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:49.865,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:50.345,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:50.368,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:50.772,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:50.825,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:51.305,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:51.785,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:52.052,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:52.265,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:52.745,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:52.800,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:52.928,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:52.928,009,290.0,1370,Full Supervision,,,1866.0,0,0,0
2025-10-01 16:46:53.225,009,,1370,,4.0,0.0,,0,0,0
2025-10-01 16:46:53.460,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:53.705,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:54.185,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:54.336,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:54.612,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:54.665,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:55.124,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:55.145,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:55.252,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:55.360,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:55.625,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:55.764,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:55.778,009,,1370,,,,,0,0,0
2025-10-01 16:46:56.000,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:56.105,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:56.404,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:56.512,009,,1370,,,,1866.0,0,0,0
2025-10-01 16:46:56.512,009,290.0,1368,Full Supervision,,,53.0,0,0,0
2025-10-01 16:46:56.585,009,,1368,,0.0,0.0,,0,0,0
2025-10-01 16:46:56.788,009,,1368,,,,53.0,0,0,0
2025-10-01 16:46:57.065,009,,1368,,0.0,0.0,,0,0,0
2025-10-01 16:46:57.280,009,,1368,,,,53.0,0,0,0
